"category_slug","category_name_uk","category_name_en","slug","name_uk","name_en","price","brand","frame_size","wheel_size","frame_material","brake_type","fork_type","gears","condition","availability","description_uk","description_en","image_url"
"road","Шосейні","Road","road-veloce-aero-11","Veloce Aero 11","Veloce Aero 11","3290.00","Veloce","54cm","700c","Carbon","Rim","Carbon Rigid","22","new","in_stock","Шосейник для швидкості","Aero road bike for speed","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"road","Шосейні","Road","road-veloce-aero-12","Veloce Aero 12","Veloce Aero 12","3490.00","Veloce","56cm","700c","Carbon","Rim","Carbon Rigid","22","new","in_stock","Професійний рівень шосе","Pro-level road performance","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"road","Шосейні","Road","road-terra-race-13","Terra Race 13","Terra Race 13","2190.00","Terra","52cm","700c","Aluminum","Rim","Carbon Rigid","20","new","in_stock","Легкий шосейник для тренувань","Light road bike for training","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"road","Шосейні","Road","road-terra-race-14","Terra Race 14","Terra Race 14","2390.00","Terra","54cm","700c","Aluminum","Rim","Carbon Rigid","20","new","in_stock","Надійний шосейний байк","Reliable road bike","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"road","Шосейні","Road","road-retro-classic-15","Retro Classic 15","Retro Classic 15","790.00","Retro","54cm","700c","Steel","Rim","Steel Rigid","10","used","in_stock","Класичний сталевий шосейник","Classic steel road bike","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"road","Шосейні","Road","road-retro-classic-16","Retro Classic 16","Retro Classic 16","840.00","Retro","56cm","700c","Steel","Rim","Steel Rigid","12","used","in_stock","Відновлений дорожній велосипед","Refurbished road bicycle","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"road","Шосейні","Road","road-summit-carbon-17","Summit Carbon 17","Summit Carbon 17","3990.00","Summit","56cm","700c","Carbon","Hydraulic Disc","Carbon Rigid","24","new","in_stock","Карбон і диски для перегонів","Carbon and discs for racing","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"road","Шосейні","Road","road-summit-carbon-18","Summit Carbon 18","Summit Carbon 18","4190.00","Summit","58cm","700c","Carbon","Hydraulic Disc","Carbon Rigid","24","new","out_of_stock","Максимум ефективності на шосе","Maximum road efficiency","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"road","Шосейні","Road","road-citylife-speed-19","CityLife Speed 19","CityLife Speed 19","1490.00","CityLife","52cm","700c","Aluminum","Rim","Rigid","18","new","in_stock","Швидкий міський шосейник","Fast urban road bike","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"road","Шосейні","Road","road-nomad-pace-20","Nomad Pace 20","Nomad Pace 20","1690.00","Nomad","54cm","700c","Aluminum","Mechanical Disc","Rigid","18","new","in_stock","Універсальне шосе на щодень","Versatile everyday road bike","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"gravel","Гравійні","Gravel","gravel-terra-explore-21","Terra Explore 21","Terra Explore 21","1850.00","Terra","S","700c","Aluminum","Mechanical Disc","Carbon Rigid","11","new","in_stock","Гравійник для пригод","Adventure gravel bike","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"gravel","Гравійні","Gravel","gravel-terra-explore-22","Terra Explore 22","Terra Explore 22","1990.00","Terra","M","700c","Aluminum","Hydraulic Disc","Carbon Rigid","12","new","in_stock","Стабільність на довгих дистанціях","Stable on long rides","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"gravel","Гравійні","Gravel","gravel-veloce-allroad-23","Veloce Allroad 23","Veloce Allroad 23","2590.00","Veloce","54cm","700c","Carbon","Hydraulic Disc","Carbon Rigid","12","new","in_stock","Allroad модель для змішаного покриття","Allroad bike for mixed terrain","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"gravel","Гравійні","Gravel","gravel-veloce-allroad-24","Veloce Allroad 24","Veloce Allroad 24","2790.00","Veloce","56cm","700c","Carbon","Hydraulic Disc","Carbon Rigid","12","new","in_stock","Гравійник преміум класу","Premium gravel bike","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"gravel","Гравійні","Gravel","gravel-retro-adventure-25","Retro Adventure 25","Retro Adventure 25","950.00","Retro","54cm","700c","Steel","Mechanical Disc","Steel Rigid","9","used","in_stock","Міцна сталева класика для подорожей","Durable steel classic for travel","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"gravel","Гравійні","Gravel","gravel-nomad-dust-26","Nomad Dust 26","Nomad Dust 26","1390.00","Nomad","S","700c","Aluminum","Mechanical Disc","Carbon Rigid","10","new","in_stock","Легкий gravel для далеких поїздок","Light gravel bike for long trips","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"gravel","Гравійні","Gravel","gravel-nomad-dust-27","Nomad Dust 27","Nomad Dust 27","1490.00","Nomad","M","700c","Aluminum","Mechanical Disc","Carbon Rigid","10","new","out_of_stock","Готовий до щебеню і ґрунту","Ready for gravel and dirt","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"gravel","Гравійні","Gravel","gravel-summit-gx-28","Summit GX 28","Summit GX 28","2990.00","Summit","L","700c","Carbon","Hydraulic Disc","Carbon Rigid","12","new","in_stock","Гравійний байк для швидких маршрутів","Fast-route gravel bike","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"gravel","Гравійні","Gravel","gravel-citylife-tour-29","CityLife Tour 29","CityLife Tour 29","1250.00","CityLife","M","700c","Aluminum","Mechanical Disc","Rigid","9","new","in_stock","Комфортний туринговий gravel","Comfort touring gravel","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"gravel","Гравійні","Gravel","gravel-citylife-tour-30","CityLife Tour 30","CityLife Tour 30","1320.00","CityLife","L","700c","Aluminum","Mechanical Disc","Rigid","9","new","in_stock","Стабільна геометрія для подорожей","Stable geometry for touring","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"city","Міські","City","city-urban-glide-31","Urban Glide 31","Urban Glide 31","620.00","CityLife","S","28""","Steel","V-Brake","Rigid","7","new","in_stock","Зручний міський велосипед","Comfort city bike","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"city","Міські","City","city-urban-glide-32","Urban Glide 32","Urban Glide 32","690.00","CityLife","M","28""","Steel","V-Brake","Rigid","7","new","in_stock","Практичний вибір для міста","Practical city commuter","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"city","Міські","City","city-urban-glide-33","Urban Glide 33","Urban Glide 33","740.00","CityLife","L","28""","Aluminum","V-Brake","Rigid","8","new","in_stock","Легка рама і комфортна посадка","Light frame and comfort fit","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"city","Міські","City","city-retro-commuter-34","Retro Commuter 34","Retro Commuter 34","480.00","Retro","M","28""","Steel","V-Brake","Rigid","6","used","in_stock","Класичний міський велосипед","Classic city commuter","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"city","Міські","City","city-retro-commuter-35","Retro Commuter 35","Retro Commuter 35","520.00","Retro","L","28""","Steel","V-Brake","Rigid","6","used","in_stock","Надійний варіант на щодень","Reliable everyday option","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"city","Міські","City","city-volt-urban-e36","Volt Urban E36","Volt Urban E36","2490.00","Volt","M","28""","Aluminum","Hydraulic Disc","Rigid","8","new","in_stock","Електроміський велосипед","Electric city bicycle","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"city","Міські","City","city-volt-urban-e37","Volt Urban E37","Volt Urban E37","2690.00","Volt","L","28""","Aluminum","Hydraulic Disc","Rigid","9","new","in_stock","Електробайк для щоденних маршрутів","E-bike for daily commuting","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"city","Міські","City","city-nomad-metro-38","Nomad Metro 38","Nomad Metro 38","830.00","Nomad","S","28""","Aluminum","V-Brake","Rigid","8","new","in_stock","Маневрений байк для трафіку","Agile bike for urban traffic","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"city","Міські","City","city-nomad-metro-39","Nomad Metro 39","Nomad Metro 39","880.00","Nomad","M","28""","Aluminum","Mechanical Disc","Rigid","9","new","out_of_stock","Підвищений контроль у місті","More control in the city","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"city","Міські","City","city-summit-commute-40","Summit Commute 40","Summit Commute 40","990.00","Summit","M","28""","Aluminum","Mechanical Disc","Rigid","10","new","in_stock","Швидкий і легкий міський варіант","Fast and light city option","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"e-bike","Електровелосипеди","E-bike","ebike-volt-x-41","Volt X 41","Volt X 41","3290.00","Volt","M","29""","Aluminum","Hydraulic Disc","Air Suspension 120mm","10","new","in_stock","Потужний e-bike для щодня","Powerful e-bike for daily use","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"e-bike","Електровелосипеди","E-bike","ebike-volt-x-42","Volt X 42","Volt X 42","3490.00","Volt","L","29""","Aluminum","Hydraulic Disc","Air Suspension 120mm","10","new","in_stock","Стабільний e-bike з великим запасом ходу","Stable e-bike with long range","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"e-bike","Електровелосипеди","E-bike","ebike-summit-e-trail-43","Summit E-Trail 43","Summit E-Trail 43","4290.00","Summit","L","29""","Carbon","Hydraulic Disc","Air Suspension 150mm","12","new","in_stock","Преміальний електро-MTB","Premium electric MTB","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"e-bike","Електровелосипеди","E-bike","ebike-summit-e-trail-44","Summit E-Trail 44","Summit E-Trail 44","4490.00","Summit","XL","29""","Carbon","Hydraulic Disc","Air Suspension 150mm","12","new","out_of_stock","Топова конфігурація e-bike","Top e-bike configuration","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"e-bike","Електровелосипеди","E-bike","ebike-citylife-assist-45","CityLife Assist 45","CityLife Assist 45","2190.00","CityLife","M","28""","Aluminum","Mechanical Disc","Rigid","8","new","in_stock","Електроасист для міських поїздок","Electric assist for city rides","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"e-bike","Електровелосипеди","E-bike","ebike-citylife-assist-46","CityLife Assist 46","CityLife Assist 46","2290.00","CityLife","L","28""","Aluminum","Mechanical Disc","Rigid","8","new","in_stock","Комфортний міський електробайк","Comfort electric city bike","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"e-bike","Електровелосипеди","E-bike","ebike-nomad-flow-47","Nomad Flow 47","Nomad Flow 47","2590.00","Nomad","M","28""","Aluminum","Hydraulic Disc","Rigid","9","new","in_stock","Збалансований e-bike для подорожей","Balanced e-bike for travel","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"e-bike","Електровелосипеди","E-bike","ebike-nomad-flow-48","Nomad Flow 48","Nomad Flow 48","2690.00","Nomad","L","28""","Aluminum","Hydraulic Disc","Rigid","9","new","in_stock","Дальність і комфорт в одному","Range and comfort in one","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"e-bike","Електровелосипеди","E-bike","ebike-retro-electra-49","Retro Electra 49","Retro Electra 49","1490.00","Retro","M","28""","Steel","V-Brake","Rigid","6","used","in_stock","Відновлений електровелосипед","Refurbished e-bike","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"e-bike","Електровелосипеди","E-bike","ebike-retro-electra-50","Retro Electra 50","Retro Electra 50","1390.00","Retro","L","28""","Steel","V-Brake","Rigid","6","used","out_of_stock","Електрокласика за доступною ціною","Affordable electric classic","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"kids","Дитячі","Kids","kids-junior-racer-51","Junior Racer 51","Junior Racer 51","320.00","KidsWheels","One Size","20""","Aluminum","V-Brake","Suspension 50mm","6","new","in_stock","Дитячий велосипед для парку","Kids bike for park rides","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"kids","Дитячі","Kids","kids-junior-racer-52","Junior Racer 52","Junior Racer 52","350.00","KidsWheels","One Size","24""","Aluminum","V-Brake","Suspension 50mm","7","new","in_stock","Модель для юних райдерів","Model for young riders","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"kids","Дитячі","Kids","kids-city-mini-53","City Mini 53","City Mini 53","270.00","CityLife","One Size","20""","Steel","V-Brake","Rigid","6","new","in_stock","Легкий велосипед для міста","Light city bike for kids","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"kids","Дитячі","Kids","kids-city-mini-54","City Mini 54","City Mini 54","290.00","CityLife","One Size","24""","Steel","V-Brake","Rigid","7","new","in_stock","Комфортна посадка для дітей","Comfort fit for children","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"kids","Дитячі","Kids","kids-trail-start-55","Trail Start 55","Trail Start 55","380.00","Summit","One Size","24""","Aluminum","Mechanical Disc","Suspension 60mm","8","new","in_stock","Перший крок у трейл катання","First step into trail riding","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"kids","Дитячі","Kids","kids-trail-start-56","Trail Start 56","Trail Start 56","410.00","Summit","One Size","26""","Aluminum","Mechanical Disc","Suspension 60mm","8","new","in_stock","Для активних підлітків","For active teenagers","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"kids","Дитячі","Kids","kids-nomad-fun-57","Nomad Fun 57","Nomad Fun 57","260.00","Nomad","One Size","20""","Aluminum","V-Brake","Rigid","6","new","in_stock","Яскравий велосипед для прогулянок","Colorful bike for fun rides","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"kids","Дитячі","Kids","kids-nomad-fun-58","Nomad Fun 58","Nomad Fun 58","280.00","Nomad","One Size","24""","Aluminum","V-Brake","Rigid","7","new","out_of_stock","Надійний і безпечний варіант","Reliable and safe option","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"kids","Дитячі","Kids","kids-retro-mini-59","Retro Mini 59","Retro Mini 59","190.00","Retro","One Size","16""","Steel","V-Brake","Rigid","1","used","in_stock","Класичний дитячий велосипед","Classic kids bike","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
"kids","Дитячі","Kids","kids-retro-mini-60","Retro Mini 60","Retro Mini 60","210.00","Retro","One Size","20""","Steel","V-Brake","Rigid","3","used","in_stock","Бюджетний велосипед для дитини","Budget kids bike","https://image2url.com/r2/default/images/1770850655547-75482e99-94d1-447c-8d37-e9d421fa4b4e.jpg"
